Summary,Issue Type,Description
Wire (1st Wicket Method of Dismissal (per team)),Story,"Wire pre-match market *1st Wicket Method of Dismissal (per team)* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *1st Wicket Method of Dismissal (per team)* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.Teams.TeamFirstDismissal` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.Teams.TeamFirstDismissal`
*Registry:* `pm-team-first-dismissal`
*Market code:* `11MOPD / 21MOPD`
*Excel today:* PM Publication rows NZ 148-154 / SA 214-220 ({Team} 1st Wicket Method of Dismissal)
*Trader adjust:* none / TBC
*Notes:* 7 selections per team; Prep Work AD:AM dismissal rates; no PM adjust in Lambda
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for 1st Wicket Method of Dismissal (per team).
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.Teams.TeamFirstDismissal and capture base outcomes / line.
# *Market Configuration UI* — Render 1st Wicket Method of Dismissal (per team) in Market Configuration (prob / line / adjust / price) aligned to PM rows NZ 148-154 / SA 214-220.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: 1st Wicket Method of Dismissal (per team) appears in Market Configuration (PM rows NZ 148-154 / SA 214-220) with correct market code 11MOPD / 21MOPD.
* [ ] AC2: Pricing call returns Lambda outcomes for 1st Wicket Method of Dismissal (per team); UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (First Over Runs),Story,"Wire pre-match market *First Over Runs* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *First Over Runs* (see Excel notes below).
# *Lambda* — Invoke `TBC` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `TBC`
*Registry:* `pm-first-over`
*Market code:* TBC
*Excel today:* PM Publication rows — (First Over Runs)
*Trader adjust:* none / TBC
*Notes:* Expected runs and over/under lines for the first over of each innings.
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for First Over Runs.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke First Over Runs and capture base outcomes / line.
# *Market Configuration UI* — Render First Over Runs in Market Configuration (prob / line / adjust / price) aligned to PM rows —.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: First Over Runs appears in Market Configuration with correct market code (TBC).
* [ ] AC2: Pricing call returns Lambda outcomes for First Over Runs; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Highest Individual Score),Story,"Wire pre-match market *Highest Individual Score* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Highest Individual Score* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.Matches.HighestIndividualScore` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.Matches.HighestIndividualScore`
*Registry:* `pm-highest-individual-score`
*Market code:* `63BARUA`
*Excel today:* PM Publication rows 75 (Highest Individual Score)
*Line cell:* F75
*Adjust cell:* I75
*Lambda adjust path:* `AdjustmentsPM.MatchAdjustments.HighestIndividualScore`
*Notes:* Line = Round(MatchHighScore) + adjust + 0.5
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Highest Individual Score.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.Matches.HighestIndividualScore and capture base outcomes / line.
# *Market Configuration UI* — Render Highest Individual Score in Market Configuration (prob / line / adjust / price) aligned to PM rows 75.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Highest Individual Score appears in Market Configuration (PM rows 75) with correct market code 63BARUA.
* [ ] AC2: Pricing call returns Lambda outcomes for Highest Individual Score; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Highest Opening Partnership),Story,"Wire pre-match market *Highest Opening Partnership* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Highest Opening Partnership* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.….HighestOpeningPartnership` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.….HighestOpeningPartnership`
*Registry:* `pm-highest-opening-partnership`
*Market code:* `HOPA`
*Excel today:* PM Publication rows 92-94 (Highest Opening Partnership)
*Trader adjust:* none / TBC
*Lambda adjust path:* `MatchAdjustments.HighestOpeningPartnership + HighestOpeningPartnershipTie`
*Notes:* 3-way opening-partnership race. homeProb + homeAdj/100 − tieAdj/100; awayProb − homeAdj/100. Test/FC market name prefixed \
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Highest Opening Partnership.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.….HighestOpeningPartnership and capture base outcomes / line.
# *Market Configuration UI* — Render Highest Opening Partnership in Market Configuration (prob / line / adjust / price) aligned to PM rows 92-94.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Highest Opening Partnership appears in Market Configuration (PM rows 92-94) with correct market code HOPA.
* [ ] AC2: Pricing call returns Lambda outcomes for Highest Opening Partnership; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Match Betting (3-way)),Story,"Wire pre-match market *Match Betting (3-way)* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Match Betting (3-way)* (see Excel notes below).
# *Lambda* — Invoke `TBC` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `TBC`
*Registry:* `pm-match-betting-3w`
*Market code:* TBC
*Excel today:* PM Publication rows — (Match Betting (3-way))
*Trader adjust:* none / TBC
*Notes:* Includes draw selection for Test cricket. Published from PM Publication.
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Match Betting (3-way).
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke Match Betting (3-way) and capture base outcomes / line.
# *Market Configuration UI* — Render Match Betting (3-way) in Market Configuration (prob / line / adjust / price) aligned to PM rows —.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Match Betting (3-way) appears in Market Configuration with correct market code (TBC).
* [ ] AC2: Pricing call returns Lambda outcomes for Match Betting (3-way); UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Match Ducks),Story,"Wire pre-match market *Match Ducks* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Match Ducks* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.Matches.MatchDucks` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.Matches.MatchDucks`
*Registry:* `pm-match-ducks`
*Market code:* `55BARUA`
*Excel today:* PM Publication rows 56 (Match Ducks)
*Line cell:* F56
*Adjust cell:* I56
*Lambda adjust path:* `AdjustmentsPM.MatchAdjustments.MatchDucks`
*Notes:* Per-innings ducks K16:P16 — O16 per team, sum 2×O16=1.31 → line 1.5; adjust÷10
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Match Ducks.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.Matches.MatchDucks and capture base outcomes / line.
# *Market Configuration UI* — Render Match Ducks in Market Configuration (prob / line / adjust / price) aligned to PM rows 56.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Match Ducks appears in Market Configuration (PM rows 56) with correct market code 55BARUA.
* [ ] AC2: Pricing call returns Lambda outcomes for Match Ducks; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Match Extras),Story,"Wire pre-match market *Match Extras* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Match Extras* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.Matches.MatchExtras` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.Matches.MatchExtras`
*Registry:* `pm-match-extras`
*Market code:* `57BARUA`
*Excel today:* PM Publication rows 58 (Match Extras)
*Line cell:* F58
*Adjust cell:* I58
*Lambda adjust path:* `AdjustmentsPM.MatchAdjustments.MatchExtras`
*Notes:* ExtrasPrediction sum or MatchExtras; total rounded to 2dp before line
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Match Extras.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.Matches.MatchExtras and capture base outcomes / line.
# *Market Configuration UI* — Render Match Extras in Market Configuration (prob / line / adjust / price) aligned to PM rows 58.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Match Extras appears in Market Configuration (PM rows 58) with correct market code 57BARUA.
* [ ] AC2: Pricing call returns Lambda outcomes for Match Extras; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Match Fours),Story,"Wire pre-match market *Match Fours* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Match Fours* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.Matches.MatchFours` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.Matches.MatchFours`
*Registry:* `pm-match-fours`
*Market code:* `51BARUA`
*Excel today:* PM Publication rows 52 (Match Fours)
*Line cell:* F52
*Adjust cell:* I52
*Lambda adjust path:* `AdjustmentsPM.MatchAdjustments.MatchFours`
*Notes:* Total = SUM(player O col) both teams + I52 purple adjust; line from Poisson-gamma median
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Match Fours.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.Matches.MatchFours and capture base outcomes / line.
# *Market Configuration UI* — Render Match Fours in Market Configuration (prob / line / adjust / price) aligned to PM rows 52.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Match Fours appears in Market Configuration (PM rows 52) with correct market code 51BARUA.
* [ ] AC2: Pricing call returns Lambda outcomes for Match Fours; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Match Run Outs),Story,"Wire pre-match market *Match Run Outs* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Match Run Outs* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.Matches.MatchRunOuts` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.Matches.MatchRunOuts`
*Registry:* `pm-match-run-outs`
*Market code:* `53BARUA`
*Excel today:* PM Publication rows 54 (Match Run Outs)
*Line cell:* F54
*Adjust cell:* I54
*Lambda adjust path:* `AdjustmentsPM.MatchAdjustments.MatchRunOuts`
*Notes:* Lambda divides adjust by 10; line = Round(total−0.8)+0.5 via Poisson
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Match Run Outs.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.Matches.MatchRunOuts and capture base outcomes / line.
# *Market Configuration UI* — Render Match Run Outs in Market Configuration (prob / line / adjust / price) aligned to PM rows 54.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Match Run Outs appears in Market Configuration (PM rows 54) with correct market code 53BARUA.
* [ ] AC2: Pricing call returns Lambda outcomes for Match Run Outs; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
Wire (Match Sixes),Story,"Wire pre-match market *Match Sixes* into Player Adjustment → Lambda → Market Configuration.

h3. Data flow
# *Player Adjustment / Prep* — Capture fixture, squad, conditions, and team/player ratings used by this market.
# *Evaluation payload* — Map prep outputs into the pre-match evaluation object required by *Match Sixes* (see Excel notes below).
# *Lambda* — Invoke `PreMatch.Models.Matches.MatchSixes` and capture base line / outcome probabilities.
# *Trader skew (FE)* — Store purple adjust (PM column I) on the FE; apply after Lambda returns base probs/line (do not send skew as a Lambda input unless the model already expects it).
# *Market Configuration* — Display published line/prob/price; publish selections for trading.
*Lambda / class:* `PreMatch.Models.Matches.MatchSixes`
*Registry:* `pm-match-sixes`
*Market code:* `52BARUA`
*Excel today:* PM Publication rows 53 (Match Sixes)
*Line cell:* F53
*Adjust cell:* I53
*Lambda adjust path:* `AdjustmentsPM.MatchAdjustments.MatchSixes`
*Notes:* Total = SUM(player P col) both teams + I53 purple adjust; line from Poisson-gamma median
*Default QA fixture:* NZ v SA (Atlas / workbook default) with adjust = 0
*Component:* Development — deliver for all formats where the model applies
*Epic:* PCS Trading UI: Pre Match (PC-3808)

h3. Process flow
# *Map evaluation inputs* — Confirm fixture + format and any player/team fields required for Match Sixes.
# *Wire extra evaluation fields* — Add any missing MatchEvaluation / BatterEvaluation / Innings fields called out in the Excel mapping notes.
# *Call Lambda market* — Invoke PreMatch.Models.Matches.MatchSixes and capture base outcomes / line.
# *Market Configuration UI* — Render Match Sixes in Market Configuration (prob / line / adjust / price) aligned to PM rows 53.
# *Apply trader adjust post-model* — Store purple skew; apply after Lambda per market skew rules (÷100 / ÷10 / line nudge as documented).
# *QA against default fixture* — Compare published outputs to PM Publication defaults (adjust = 0) before marking Matched.

h3. Acceptance criteria
* [ ] AC1: Match Sixes appears in Market Configuration (PM rows 53) with correct market code 52BARUA.
* [ ] AC2: Pricing call returns Lambda outcomes for Match Sixes; UI displays base probabilities and/or line without requiring a non-zero trader adjust.
* [ ] AC3: Trader adjust control is available where the sheet has a purple I column; +1 / −1 (or documented unit) updates published values after Lambda.
* [ ] AC4 (expected value): With default fixture inputs and adjust = 0, published probs/lines match captured PM Publication for the default NZ v SA fixture (capture from QA tab if missing).
* [ ] AC5 (wiring): Model Manager Overview can mark this market Matched once QA passes on the default fixture.
* [ ] AC6: Behaviour is validated for applicable formats (T20 / ODI / Test as relevant to the model)."
